Customer_ID,Age,Gender,City,Salary,Purchase_Amount,Purchase_Date
1001,58.0,Female,Madurai,56467.0,13917.0,2026-01-01
1002,48.0,Male,Coimbatore,41328.0,2193.0,2026-01-02
1003,34.0,Female,Trichy,21987.0,10374.0,2026-01-03
1004,27.0,Male,Madurai,76871.0,5252.0,2026-01-04
1005,40.0,Male,Chennai,40399.0,8811.0,2026-01-05
1006,37.5,Female,Trichy,64214.0,1330.0,2026-01-06
1007,38.0,Female,Chennai,88271.0,14598.0,2026-01-07
1008,42.0,Male,Unknown,62064.0,12367.0,2026-01-08
1009,30.0,Male,Coimbatore,88091.0,5677.0,2026-01-09
1010,30.0,Female,Trichy,58818.0,14762.0,2026-01-10
1011,43.0,Female,Trichy,63525.0,10061.0,2026-01-11
1012,55.0,Female,Coimbatore,57762.0,9432.0,2026-01-12
1013,59.0,Male,Madurai,35429.0,8808.0,2026-01-13
1014,43.0,Male,Chennai,24893.0,6449.0,2026-01-14
1015,22.0,Male,Salem,65333.0,3338.0,2026-01-15
1016,41.0,Male,Chennai,21436.0,8808.0,2026-01-16
1017,21.0,Male,Chennai,23895.0,8060.0,2026-01-17
1018,43.0,Male,Madurai,37738.0,2431.0,2026-01-18
1019,37.5,Female,Chennai,48746.0,9704.0,2026-01-19
1020,57.0,Male,Coimbatore,67377.0,2164.0,2026-01-20
1021,21.0,Male,Coimbatore,500000.0,1581.0,2026-01-21
1022,40.0,Male,Trichy,72045.0,13421.0,2026-01-22
1023,52.0,Female,Salem,57790.0,1012.0,2026-01-23
1024,31.0,Male,Chennai,23600.0,11541.0,2026-01-24
1025,41.0,Male,Chennai,58764.0,13907.0,2026-01-25
1026,44.0,Female,Madurai,63714.0,8305.0,2026-01-26
1027,46.0,Male,Coimbatore,74835.0,5737.0,2026-01-27
1028,47.0,Male,Unknown,74491.0,1059.0,2026-01-28
1029,35.0,Male,Trichy,36589.0,4172.0,2026-01-29
1030,34.0,Male,Coimbatore,61484.0,13275.0,2026-01-30
1031,22.0,Male,Trichy,54212.0,7904.0,2026-01-31
1032,56.0,Female,Madurai,57762.0,13684.0,2026-02-01
1033,26.0,Female,Madurai,65202.0,3843.0,2026-02-02
1034,40.0,Female,Chennai,50635.0,14000.0,2026-02-03
1035,28.0,Male,Salem,81208.0,4570.0,2026-02-04
1036,58.0,Male,Trichy,51828.0,80000.0,2026-02-05
1037,37.0,Male,Coimbatore,36711.0,10162.0,2026-02-06
1038,23.0,Female,Madurai,21420.0,1080.0,2026-02-07
1039,44.0,Male,Chennai,18301.0,7504.0,2026-02-08
1040,33.0,Male,Chennai,63236.0,10986.0,2026-02-09
1041,28.0,Female,Trichy,84235.0,8630.0,2026-02-10
1042,45.0,Male,Madurai,72240.0,3647.0,2026-02-11
1043,21.0,Female,Salem,83726.0,4749.0,2026-02-12
1044,39.0,Female,Madurai,28492.0,2179.0,2026-02-13
1045,37.5,Female,Trichy,24102.0,4006.0,2026-02-14
1046,26.0,Male,Trichy,68336.0,13784.0,2026-02-15
1047,27.0,Male,Madurai,44641.0,7753.0,2026-02-16
1048,54.0,Male,Trichy,52584.0,3244.0,2026-02-17
1049,33.0,Male,Madurai,50745.0,8808.0,2026-02-18
1050,36.0,Male,Coimbatore,41093.0,12737.0,2026-02-19
1051,55.0,Male,Madurai,84105.0,9935.0,2026-02-20
1052,59.0,Male,Madurai,69885.0,5688.0,2026-02-21
1053,23.0,Female,Trichy,54631.0,11810.0,2026-02-22
1054,21.0,Male,Trichy,22014.0,13796.0,2026-02-23
1055,25.0,Female,Chennai,29093.0,2641.0,2026-02-24
1056,23.0,Male,Unknown,36070.0,14561.0,2026-02-25
1057,48.0,Male,Coimbatore,53777.0,13745.0,2026-02-26
1058,37.0,Male,Chennai,74958.0,11751.0,2026-02-27
1059,45.0,Female,Madurai,28729.0,13240.0,2026-02-28
1060,53.0,Female,Trichy,63017.0,14015.0,2026-03-01
1061,29.0,Female,Chennai,84320.0,11651.0,2026-03-02
1062,55.0,Female,Chennai,45751.0,10957.0,2026-03-03
1063,33.0,Male,Coimbatore,72748.0,7117.0,2026-03-04
1064,50.0,Female,Coimbatore,57762.0,2979.0,2026-03-05
1065,34.0,Male,Madurai,37190.0,6984.0,2026-03-06
1066,27.0,Male,Trichy,650000.0,13338.0,2026-03-07
1067,33.0,Female,Coimbatore,68993.0,10327.0,2026-03-08
1068,42.0,Female,Chennai,47592.0,14100.0,2026-03-09
1069,59.0,Female,Trichy,28647.0,7921.0,2026-03-10
1070,40.0,Female,Trichy,26716.0,10449.0,2026-03-11
1071,35.0,Female,Chennai,88316.0,4952.0,2026-03-12
1072,37.0,Female,Coimbatore,20368.0,10762.0,2026-03-13
1073,37.5,Female,Chennai,24655.0,6381.0,2026-03-14
1074,45.0,Female,Trichy,88031.0,7165.0,2026-03-15
1075,44.0,Male,Salem,73766.0,14569.0,2026-03-16
1076,60.0,Female,Salem,31403.0,3349.0,2026-03-17
1077,48.0,Female,Madurai,50097.0,11943.0,2026-03-18
1078,34.0,Male,Chennai,28966.0,7890.0,2026-03-19
1079,20.0,Female,Chennai,70921.0,7405.0,2026-03-20
1080,44.0,Male,Madurai,67726.0,12422.0,2026-03-21
1081,26.0,Male,Madurai,68300.0,2989.0,2026-03-22
1082,28.0,Female,Madurai,40677.0,8808.0,2026-03-23
1083,43.0,Male,Trichy,73609.0,11508.0,2026-03-24
1084,20.0,Male,Chennai,74661.0,9707.0,2026-03-25
1085,27.0,Male,Trichy,49024.0,10040.0,2026-03-26
1086,43.0,Male,Madurai,88313.0,5111.0,2026-03-27
1087,30.0,Female,Chennai,71006.0,11779.0,2026-03-28
1088,36.0,Male,Trichy,33338.0,3339.0,2026-03-29
1089,27.0,Female,Trichy,57762.0,9027.0,2026-03-30
1090,54.0,Male,Madurai,37508.0,6378.0,2026-03-31
1091,54.0,Male,Chennai,21051.0,95000.0,2026-04-01
1092,52.0,Male,Madurai,66747.0,9587.0,2026-04-02
1093,24.0,Male,Chennai,72021.0,6803.0,2026-04-03
1094,58.0,Female,Salem,84412.0,12238.0,2026-04-04
1095,60.0,Female,Coimbatore,76335.0,1351.0,2026-04-05
1096,47.0,Male,Coimbatore,74179.0,2187.0,2026-04-06
1097,26.0,Male,Coimbatore,50093.0,10623.0,2026-04-07
1098,28.0,Female,Madurai,87678.0,7333.0,2026-04-08
1099,27.0,Male,Salem,57734.0,12438.0,2026-04-09
1100,31.0,Male,Chennai,35019.0,2927.0,2026-04-10
